Age,Gender,Income,SpendingScore,PurchaseAmount,ProductCategory,PaymentMethod,City,State,Country,IsActive,Returns,DiscountUsed,ReviewScore,Browser,Device,SessionTime,Churn,Year,Month
41,0,35167,65,3992,0,3,1,0,1,2,2.0,0,3.3151996483363315,3,0,253,0,2023.0,1.0
63,1,20636,38,4968,1,0,2,2,2,0,0.0,0,2.1890858610240578,1,1,214,1,,
34,2,29854,78,2807,1,3,1,1,0,0,2.0,1,3.7608381487573066,0,1,61,1,,
54,2,108678,82,3305,0,1,0,0,1,1,2.0,1,3.188210723622391,0,1,167,1,,
67,0,114929,49,4407,4,0,2,4,1,0,0.9984059511158342,0,3.0031016598150484,2,3,296,1,2023.0,1.0
44,1,103583,64,4630,2,1,4,1,2,1,0.9984059511158342,0,1.627473171982051,1,0,287,1,,
67,1,59807,27,1205,1,0,0,0,0,1,2.0,0,2.908296937797031,0,1,129,0,,
56,0,85451,50,4133,2,1,3,1,3,1,0.9984059511158342,2,3.580191789807551,2,1,95,1,,
58,0,64415,31,1045,2,2,2,3,1,0,1.0,1,4.354113490755543,3,0,199,0,,
66,1,83155,97,579,1,4,2,0,1,1,1.0,2,1.4008398164403757,1,3,37,0,,
51,0,77757,82,4650,2,4,1,1,2,2,0.0,1,2.8615225012079195,2,2,137,1,,
18,0,37573,63,1881,1,0,2,4,2,0,2.0,2,4.695635772264631,0,2,203,1,,
29,1,115852,21,3095,1,4,1,0,2,2,1.0,0,4.14374112364696,3,1,83,1,,
53,1,86483,80,4284,0,0,1,0,1,0,0.0,0,1.7880360433842577,1,1,295,0,,
34,1,64518,25,3364,4,0,4,1,1,0,0.0,1,1.1988498017092524,2,0,247,0,,
46,1,69047,53,4879,4,2,1,1,3,2,0.9984059511158342,0,4.9411782817848415,1,2,10,0,,
37,0,24414,16,1651,4,4,3,0,0,0,1.0,1,2.3301335821497,2,3,102,1,,
23,1,98627,3,4450,4,1,0,1,0,1,1.0,2,4.707255542720478,2,2,15,0,,
58,2,84450,3,3071,3,0,4,2,1,1,0.9984059511158342,1,3.654997942591292,1,0,136,1,,
63,2,51346,86,3674,3,0,3,1,1,0,0.0,0,2.28842058334158,3,3,160,0,,
28,2,113103,58,2660,4,2,0,3,3,1,0.9984059511158342,2,2.186945945916787,2,3,40,0,2023.0,1.0
65,1,87381,9,4623,0,0,2,4,3,2,1.0,1,4.212240184820525,3,1,231,0,,
32,1,78706,90,3125,1,3,2,4,3,1,0.0,1,3.1652761124100657,3,3,158,1,,
52,1,20056,61,4777,2,2,2,4,3,1,0.0,1,1.1303147245168028,3,1,140,1,,
53,0,20440,65,362,3,3,3,3,0,2,0.0,1,1.6572930034918714,1,0,225,1,,
45,1,113249,3,4018,4,3,3,1,3,2,0.9984059511158342,0,1.1668242103899251,0,1,98,1,,
34,0,22366,56,984,0,4,2,0,1,1,1.0,0,4.51735797082674,1,3,241,0,,
33,1,101072,87,3379,2,4,4,1,0,0,1.0,2,4.504802215790833,3,2,35,1,2023.0,1.0
50,2,34974,42,689,4,3,1,0,0,1,0.9984059511158342,0,2.515019854513892,3,1,245,1,,
34,0,70870,19,675,1,1,1,1,3,0,2.0,1,2.9435906004253023,1,0,176,1,,
68,2,75006,27,2448,1,0,0,1,1,0,1.0,1,4.372576352940115,3,0,174,0,,
30,1,24008,83,4141,3,4,0,0,0,2,2.0,0,1.1195839512076584,1,3,78,0,,
22,0,38812,32,360,3,4,0,3,3,0,2.0,2,1.0642474705494736,3,2,162,0,,
35,0,101144,94,2986,0,2,2,3,2,0,2.0,2,1.9851631480489744,0,0,11,1,2023.0,1.0
58,2,48439,28,3915,3,1,2,2,1,2,2.0,1,3.360763651885728,1,0,136,1,2023.0,1.0
54,1,114542,66,4302,3,1,3,4,1,2,2.0,0,1.7240547289431305,1,1,123,0,,
37,0,111257,58,573,4,2,3,2,0,2,0.0,2,3.6924588999882575,0,1,275,1,,
55,2,37118,37,2772,3,2,4,0,0,0,2.0,1,2.638298472612066,2,2,22,1,,
37,1,21701,36,2966,4,3,3,1,2,2,0.9984059511158342,2,4.319503991344611,0,0,221,1,,
